"id","title","parentId","sectionId","img","active"
"10","صاروخ","null","1","http://etoolsshop.com/uploads/images/category/GRIENDER 1.jpg","1"
"12","اكسسوارات","null","null","http://etoolsshop.com/uploads/images/category/اطقم.png","1"
"13","بلاور","null","1","http://etoolsshop.com/uploads/images/category/بلاور.png","1"
"17","شنيور","null","1","http://etoolsshop.com/uploads/images/category/شنيور دقاق.png","1"
"18","ادوات ومعدات حدائق","null","6","http://etoolsshop.com/uploads/images/category/منشار الحدائق.png","1"
"19","شاكوش التخريم والتكسير (هيلتي)","null","1","http://etoolsshop.com/uploads/images/category/Rotary Hammer.jpg","1"
"20","مسدس تسخين","null","1","http://etoolsshop.com/uploads/images/category/مسدس تسخين.png","1"
"22","اجهزة قياس وتحديد مستويات بالليزر ","null","4","http://etoolsshop.com/uploads/images/category/laser destance meter1.jpg","1"
"16","كاشف ","22","2","http://etoolsshop.com/uploads/images/category/","1"
"24","اجهزه متعددة الاستخدامات","null","2","http://etoolsshop.com/uploads/images/category/ترددى متعدد الاستخدامات.png","1"
"25","رشاشات دهانات","null","1","http://etoolsshop.com/uploads/images/category/رشاشات دهانات.png","1"
"28","منشار كهربائي","null","1","http://etoolsshop.com/uploads/images/category/منشار ترددى أمامى.png","1"
"54","اجهزه متعدده الاستخدامات-بالبطاريه","24","2","http://etoolsshop.com/uploads/images/category/","1"
"55","اجهزه متعدده الاستخدامات-عاده","24","1","http://etoolsshop.com/uploads/images/category/saf7a-beda.jpg","1"
"63","شنيور كور","17","1","http://etoolsshop.com/uploads/images/category/","1"
"67","شنيور فك وربط كهرباء","17","1","http://etoolsshop.com/uploads/images/category/","1"
"69","قفازات","18","3","http://etoolsshop.com/uploads/images/category/","1"
"73","منشار شجر","18","6","http://etoolsshop.com/uploads/images/category/","1"
"76","ميزان شيرب ليزر","22","4","http://etoolsshop.com/uploads/images/category/WHITE PAPER.jpg","1"
"78","زاويه ديجيتال","22","4","http://etoolsshop.com/uploads/images/category/","1"
"79","متر قياس ليزر","22","4","http://etoolsshop.com/uploads/images/category/WHITE PAPER.jpg","1"
"82","منشار اركيت","28","3","http://etoolsshop.com/uploads/images/category/WHITE PAPER.jpg","1"
"84"," بنط ","null","3","http://etoolsshop.com/uploads/images/category/بنط.png","1"
"87","دباسه","null","1","http://etoolsshop.com/uploads/images/category/دباسة.png","1"
"88","شنيور زاوية ","17","1","http://etoolsshop.com/uploads/images/category/","1"
"90","صاروخ تلميع","10","1","http://etoolsshop.com/uploads/images/category/GRIENDER 1.jpg","1"
"91","صاروخ اسطمبات","10","1","http://etoolsshop.com/uploads/images/category/GRIENDER 1.jpg","1"
"92","صاروخ شق في الخرسانه","10","1","http://etoolsshop.com/uploads/images/category/GRIENDER 1.jpg","1"
"93","شنيور يمين وشمال ودقاق","17","1","http://etoolsshop.com/uploads/images/category/WHITE PAPER.jpg","1"
"94","شاكوش تخريم وتكسير خفيف","19","1","http://etoolsshop.com/uploads/images/category/","1"
"95","شاكوش تخريم وتكسير ثقيل","19","1","http://etoolsshop.com/uploads/images/category/","1"
"96","شاكوش تكسير","19","1","http://etoolsshop.com/uploads/images/category/","1"
"97","شاكوش بالبطاريه","19","1","http://etoolsshop.com/uploads/images/category/","1"
"98","شنيور ومفك شحن بالبطاريه","null","2","http://etoolsshop.com/uploads/images/category/شنيور بطارية.png","1"
"100","شنيور ومفك (شحن بطارية)","98","2","http://etoolsshop.com/uploads/images/category/","1"
"101","شنيور ومفك عزم (شحن بطارية)","98","2","http://etoolsshop.com/uploads/images/category/","1"
"102","مقصات كهربائيه","null","2","http://etoolsshop.com/uploads/images/category/مقص تقليم اسيجة.png","1"
"103","مقصات صاج ","102","2","http://etoolsshop.com/uploads/images/category/","1"
"104","مقصات الاسفنج","102","2","http://etoolsshop.com/uploads/images/category/","1"
"105","منشار صينيه","28","2","http://etoolsshop.com/uploads/images/category/","1"
"106","صنفره كهربائيه","null","1","http://etoolsshop.com/uploads/images/category/صنفره تردديه.png","1"
"107","صنفره تردديه","106","null","http://etoolsshop.com/uploads/images/category/","1"
"108","صنفره دائريه","106","null","http://etoolsshop.com/uploads/images/category/","1"
"109","صنفره دبابه","106","null","http://etoolsshop.com/uploads/images/category/","1"
"111","مواتير","null","null","http://etoolsshop.com/uploads/images/category/موتور جلخ.png","1"
"112","مواتير جلخ","111","null","http://etoolsshop.com/uploads/images/category/","1"
"113","مواتير خلاط","111","null","http://etoolsshop.com/uploads/images/category/","1"
"114","ديسك قطعيه","null","null","http://etoolsshop.com/uploads/images/category/ديسك حديد ومعدن.png","1"
"115","منشار طبليه","28","null","http://etoolsshop.com/uploads/images/category/","1"
"116","ديسك  خشب","114","null","http://etoolsshop.com/uploads/images/category/","1"
"117","ديسك  خشب و الومينيوم","114","null","http://etoolsshop.com/uploads/images/category/","1"
"119","ديسك حديد ومعدن","114","null","http://etoolsshop.com/uploads/images/category/","1"
"124","اكسسوار اجهزة الليزر","22","null","http://etoolsshop.com/uploads/images/category/","1"
"125","ميزان مياه ديجيتال وعادة","22","null","http://etoolsshop.com/uploads/images/category/","1"
"126","اطقم و عدد يدويه","null","null","http://etoolsshop.com/uploads/images/category/اطقم.png","1"
"127","فاره كهربائيه","null","null","http://etoolsshop.com/uploads/images/category/فاره-كهربائيه.jpg","1"
"130","مسدس شمع","null","null","http://etoolsshop.com/uploads/images/category/مسدس شمع.png","1"
"131","اسطوانات قطعيه","null","null","http://etoolsshop.com/uploads/images/category/CIRCULAR SAW DISC 1.jpg","1"
"50","اسطوانات صينية ماكينات ","131","null","http://etoolsshop.com/uploads/images/category/","1"
"53","اسطوانات الماظة","131","null","http://etoolsshop.com/uploads/images/category/","1"
"132","اسطوانات قطع معدن","131","null","http://etoolsshop.com/uploads/images/category/","1"
"133","اسطوانات صينية","131","null","http://etoolsshop.com/uploads/images/category/","1"
"136","ماكينات نجيله","18","null","http://etoolsshop.com/uploads/images/category/","1"
"137","مقص اسيجه","18","null","http://etoolsshop.com/uploads/images/category/","1"
"139","بلاور حدائق","18","null","http://etoolsshop.com/uploads/images/category/","1"
"140","اكسسوارات وملحقات الاجهزه المتعدده","24","null","http://etoolsshop.com/uploads/images/category/","1"
"142","منتجات دريميل","null","null","http://etoolsshop.com/uploads/images/category/","null"
"141","ملحقات دريميل","142","null","http://etoolsshop.com/uploads/images/category/","1"
"143","معدات دريميل","142","null","http://etoolsshop.com/uploads/images/category/","1"
"144","كاتر شحن ","102","null","http://etoolsshop.com/uploads/images/category/saf7a-beda.jpg","1"
"145","اكسسوارت دريميل","142","null","http://etoolsshop.com/uploads/images/category/","1"
"146","منشار ترددى","28","null","http://etoolsshop.com/uploads/images/category/WHITE PAPER.jpg","1"
"147","اجهزة راوتر","null","null","http://etoolsshop.com/uploads/images/category/راوتر.png","1"
"148","كومبريسور هواء","null","null","http://etoolsshop.com/uploads/images/category/كمبريسور.png","1"
"149","كوريك ","null","null","http://etoolsshop.com/uploads/images/category/كوريك.png","1"
"151","صاروخ 4.5","10","null","http://etoolsshop.com/uploads/images/category/GRIENDER 1.jpg","1"
